,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
41468,Manhattan,Harlem,40.81074,-73.94377,Private room,42,28,0,160,313,0.3621338444499122
41469,Manhattan,Financial District,40.70936,-74.00757,Entire home/apt,250,30,1,1,0,0.08464787715069813
41470,Manhattan,West Village,40.73433,-74.00438,Entire home/apt,500,6,1,1,365,0.16022037380048565
41473,Manhattan,Greenwich Village,40.729009999999995,-73.99915,Entire home/apt,210,2,6,1,0,0.38664173346341485
41475,Manhattan,Midtown,40.74519,-73.98394,Private room,189,1,0,8,20,0.18594096777870234
41476,Manhattan,Midtown,40.745709999999995,-73.98419,Private room,214,1,1,8,22,0.1832348531064448
41477,Manhattan,Midtown,40.745470000000005,-73.9826,Private room,229,1,0,8,18,0.08100817978031642
41478,Manhattan,East Village,40.72338,-73.98408,Entire home/apt,200,20,0,3,242,0.49492465175212796
41479,Manhattan,Midtown,40.74512,-73.98380999999999,Private room,254,1,0,8,15,0.18120796020611865
41481,Manhattan,Midtown,40.7445,-73.9826,Private room,259,1,0,8,19,0.1810604443203911
41482,Manhattan,Midtown,40.74523,-73.98277,Private room,599,1,0,8,12,0.1112039787834801
41483,Manhattan,Midtown,40.74452,-73.98245,Private room,589,1,0,8,18,0.17620189509914974
41484,Manhattan,Midtown,40.7452,-73.98276,Private room,1200,1,1,8,16,0.11361688452934458
41493,Manhattan,Murray Hill,40.74702,-73.97731999999999,Entire home/apt,169,3,4,1,0,0.4149900425348139
41494,Manhattan,East Village,40.72121,-73.97874,Entire home/apt,800,3,12,1,180,0.8020627276822843
41496,Manhattan,East Village,40.73166,-73.98555,Entire home/apt,789,7,17,1,331,0.14060061833979462
41498,Manhattan,Chinatown,40.71621,-73.99122,Entire home/apt,130,3,3,2,0,0.29084706116708714
41501,Manhattan,Lower East Side,40.71989,-73.98431,Entire home/apt,1250,2,29,1,344,0.3168509022405068
41503,Manhattan,Midtown,40.75357,-73.96687,Entire home/apt,200,3,1,1,236,0.47914918643620885
41508,Manhattan,Two Bridges,40.7121,-73.99668,Entire home/apt,150,2,0,1,24,0.5783457826261968
41510,Manhattan,East Village,40.7263,-73.97967,Entire home/apt,150,2,6,1,0,0.5425396607611108
41511,Manhattan,Washington Heights,40.855270000000004,-73.92983000000001,Private room,43,1,0,1,0,0.035597846376117875
